candidate_id,preferred_domain,skills,num_skills,experience_years,education,has_certification
C0042,Healthcare IT,"HIPAA Compliance, Java, Python",3,1.0,B.Tech,1
C0043,Mobile Development,"Flutter, Kotlin, Objective-C, React Native",4,1.6,B.Tech,0
C0044,Web Development,"JavaScript, PHP, React",3,0.8,B.Tech,0
C0045,Data & ML,"Excel, Pandas, Power BI, Python, SQL, TensorFlow",6,2.4,BCA,0
C0046,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,0.8,MCA,0
C0047,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,12.3,B.Tech,1
C0048,Data & ML,"Excel, Machine Learning, Pandas, Power BI, Python, TensorFlow",6,5.4,B.Tech,0
C0049,Web Development,"CSS, Django, React",3,5.9,B.Tech,0
C0050,Data & ML,"Excel, Pandas, Python, SQL",4,2.2,B.Tech,1
C0051,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,8.5,B.Tech,0
C0052,Data & ML,"Excel, Machine Learning, Pandas, Power BI, Python, TensorFlow",6,0.4,B.Tech,0
C0053,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Terraform",5,2.3,BCA,0
C0054,Cloud & DevOps,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",6,5.1,BCA,0
C0055,Web Development,"CSS, Django, HTML, PHP",4,15.0,Diploma,0
C0056,Banking/Fintech Software,"Azure, Core Banking Systems, Java, REST APIs, SQL, Spring Boot",6,3.0,B.Tech,0
C0057,Banking/Fintech Software,"Core Banking Systems, HTML, Java, REST APIs, SQL, Spring Boot",6,5.6,B.Sc,0
C0058,Healthcare IT,"FHIR, HIPAA Compliance, SQL",3,3.1,B.Tech,0
C0059,Cloud & DevOps,"Azure, Docker, Kubernetes, Linux",4,3.3,BCA,0
C0060,Cloud & DevOps,"AWS, Linux, Terraform",3,3.3,B.Tech,0
C0061,Data & ML,"Excel, Power BI, Python, TensorFlow",4,2.0,M.Tech,1
C0062,Banking/Fintech Software,"Core Banking Systems, Java, JavaScript, REST APIs, SQL, Spring Boot",6,3.7,B.Tech,0
C0063,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Kubernetes, Linux",6,1.4,MCA,1
C0064,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,2.5,B.Tech,0
C0065,Web Development,"Angular, CSS, Django, JavaScript, PHP",5,0.9,BCA,1
C0066,Healthcare IT,"FHIR, HIPAA Compliance, Java, Python, SQL",5,6.7,BCA,1
C0067,Cloud & DevOps,"AWS, Kubernetes, Linux, Terraform",4,3.1,BCA,1
C0068,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Kubernetes, Linux",6,3.8,B.Tech,0
C0069,Mobile Development,"Java, Kotlin, Objective-C",3,0.1,Diploma,0
C0070,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL",4,7.4,B.Tech,0
C0071,Banking/Fintech Software,"Core Banking Systems, Excel, Java, REST APIs, SQL, Spring Boot",6,1.2,BCA,0
C0072,Web Development,"Angular, CSS, Django, HTML, JavaScript, PHP",6,5.8,B.Tech,0
C0073,Mobile Development,"Flutter, Kotlin, Objective-C, React Native, Swift",5,0.9,M.Tech,0
C0074,Banking/Fintech Software,"Java, REST APIs, SQL, Spring Boot",4,8.3,BCA,0
C0075,Data & ML,"Excel, Machine Learning, Pandas, Python, SQL, TensorFlow",6,0.7,BCA,0
C0076,Cloud & DevOps,"AWS, Azure, CI/CD, Kubernetes, Terraform",5,2.2,B.Sc,1
C0077,Data & ML,"Excel, Pandas, SQL",3,0.4,MCA,0
C0078,Cloud & DevOps,"AWS, Azure, Docker, Terraform",4,5.0,B.Sc,1
C0079,Healthcare IT,"FHIR, Python, SQL",3,0.3,B.Tech,1
C0080,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Kubernetes, Linux",6,3.1,MCA,1
C0081,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,6.5,B.Tech,0
C0082,Banking/Fintech Software,"Core Banking Systems, Java, Node.js, REST APIs, SQL, Spring Boot",6,2.6,B.Tech,0
C0083,Data & ML,"Excel, Machine Learning, Pandas, Python, TensorFlow",5,12.0,B.Sc,1
C0084,Mobile Development,"Flutter, Kotlin, Swift",3,0.1,B.Sc,0
C0085,Web Development,"Django, HTML, JavaScript, Node.js, PHP, React",6,1.2,B.Sc,0
C0086,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Kubernetes, Terraform",6,2.9,B.Tech,0
C0087,Cloud & DevOps,"AWS, Azure, Docker, Kubernetes, Linux, Terraform",6,1.6,BCA,0
C0088,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,11.2,M.Tech,0
C0089,Cloud & DevOps,"Azure, CI/CD, Kubernetes",3,1.5,M.Tech,1
C0090,Banking/Fintech Software,"Core Banking Systems, REST APIs, SQL, Spring Boot",4,0.1,Diploma,1
C0091,Healthcare IT,"FHIR, Java, Python",3,3.5,B.Tech,1
C0092,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Python, SQL",5,0.9,M.Tech,1
C0093,Web Development,"Angular, CSS, HTML, JavaScript, Node.js, React",6,8.2,BCA,0
C0094,Web Development,"Angular, CSS, Django, HTML, PHP, React",6,2.4,BCA,0
C0095,Data & ML,"Excel, Machine Learning, Pandas, Power BI, SQL, TensorFlow",6,2.5,B.Tech,0
C0096,Mobile Development,"Flutter, Java, React Native",3,0.4,B.Tech,0
C0097,Data & ML,"Excel, Pandas, SQL, TensorFlow",4,11.7,B.Tech,0
C0098,Web Development,"Django, HTML, PHP, React",4,2.0,M.Tech,0
C0099,Mobile Development,"Java, Kotlin, React Native, Swift",4,3.1,B.Tech,1
C0100,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,0.1,B.Tech,1
C0101,Data & ML,"Excel, Machine Learning, Pandas, SQL",4,2.1,M.Tech,1
C0102,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,0.2,BCA,0
C0103,Cloud & DevOps,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",6,3.0,B.Sc,1
C0104,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native",5,3.1,M.Tech,0
C0105,Data & ML,"Machine Learning, Pandas, TensorFlow",3,3.0,B.Sc,1
C0106,Data & ML,"Machine Learning, Pandas, Python, SQL, TensorFlow",5,0.7,B.Tech,0
C0107,Healthcare IT,"FHIR, HL7, Java, Python",4,0.1,BCA,0
C0108,Web Development,"Django, JavaScript, Node.js, React",4,1.2,B.Sc,0
C0109,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, Spring Boot",4,0.9,M.Tech,1
C0110,Cloud & DevOps,"AWS, Kubernetes, Linux, Terraform",4,3.0,B.Sc,1
C0111,Cloud & DevOps,"Kubernetes, Linux, Terraform",3,10.3,M.Tech,0
C0112,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,4.9,Diploma,0
C0113,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, Spring Boot",4,0.9,BCA,1
C0114,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,5.9,M.Tech,1
C0115,Mobile Development,"Java, Kotlin, Swift",3,0.8,B.Tech,0
C0116,Data & ML,"Excel, Machine Learning, Pandas, Power BI, Python, SQL",6,5.3,B.Tech,1
C0117,Healthcare IT,"HL7, Java, SQL",3,0.2,Diploma,1
C0118,Mobile Development,"Flutter, Java, Objective-C",3,1.2,Diploma,1
C0119,Web Development,"Angular, CSS, HTML, PHP, React",5,2.0,B.Tech,0
C0120,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,1.2,BCA,1
C0121,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, SQL",5,4.6,B.Tech,1
C0122,Mobile Development,"Flutter, Java, React Native, Swift",4,0.2,M.Tech,0
C0123,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,2.4,MCA,1
C0124,Banking/Fintech Software,"Java, SQL, Spring Boot",3,4.3,BCA,0
C0125,Cloud & DevOps,"AWS, CI/CD, Docker, Linux, Terraform",5,1.7,B.Tech,0
C0126,Web Development,"Angular, HTML, JavaScript, Node.js, React",5,3.7,B.Tech,0
C0127,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,2.6,B.Sc,1
C0128,Data & ML,"Machine Learning, Pandas, Power BI",3,8.8,Diploma,1
C0129,Healthcare IT,"FHIR, HIPAA Compliance, Python, SQL",4,3.7,M.Tech,0
C0130,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,1.7,Diploma,0
C0131,Cloud & DevOps,"AWS, Azure, Docker, Linux, Terraform",5,0.9,M.Tech,0
C0132,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,0.4,B.Tech,1
C0133,Cloud & DevOps,"Azure, Kubernetes, Linux",3,3.4,B.Tech,0
C0134,Cloud & DevOps,"Azure, CI/CD, Docker, Kubernetes, Linux, Terraform",6,1.0,B.Sc,0
C0135,Banking/Fintech Software,"Java, REST APIs, SQL, Spring Boot",4,4.9,Diploma,0
C0136,Healthcare IT,"FHIR, HIPAA Compliance, Java, Python, SQL",5,6.7,M.Tech,1
C0137,Healthcare IT,"HIPAA Compliance, Java, Python",3,0.9,BCA,0
C0138,Web Development,"CSS, Django, JavaScript, Node.js, React",5,3.0,BCA,0
C0139,Cloud & DevOps,"CI/CD, Docker, Terraform",3,3.6,B.Tech,1
C0140,Data & ML,"Excel, Machine Learning, Pandas, Power BI, TensorFlow",5,1.0,Diploma,1
C0141,Banking/Fintech Software,"Core Banking Systems, Java, Machine Learning, REST APIs, SQL, Spring Boot",6,0.3,B.Tech,0
C0142,Cloud & DevOps,"AWS, Azure, Docker, Kubernetes, Linux, Terraform",6,1.9,B.Tech,0
C0143,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,1.3,B.Tech,0
C0144,Mobile Development,"Flutter, Java, Objective-C, React Native, Swift",5,2.3,B.Tech,1
C0145,Web Development,"Django, HTML, JavaScript, Node.js, PHP, React",6,0.9,B.Tech,0
C0146,Mobile Development,"Flutter, Java, Kotlin, Objective-C",4,9.0,MCA,1
C0147,Banking/Fintech Software,"Core Banking Systems, REST APIs, SQL, Spring Boot",4,0.3,B.Sc,0
C0148,Cloud & DevOps,"AWS, Azure, Docker",3,0.1,B.Tech,1
C0149,Data & ML,"Excel, Machine Learning, Pandas, Power BI, Python, TensorFlow",6,12.7,B.Tech,1
C0150,Mobile Development,"Java, React Native, Swift",3,10.5,B.Sc,1
C0151,Web Development,"Angular, Django, HTML, React",4,0.1,B.Tech,0
C0152,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,6.0,B.Sc,1
C0153,Data & ML,"Excel, Machine Learning, Pandas, TensorFlow",4,7.3,BCA,1
C0154,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL",4,5.7,B.Tech,0
C0155,Mobile Development,"Kotlin, Objective-C, React Native, Swift",4,0.9,B.Tech,0
C0156,Web Development,"CSS, JavaScript, PHP",3,3.3,BCA,0
C0157,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,0.1,M.Tech,0
C0158,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Kubernetes",5,2.2,B.Sc,0
C0159,Data & ML,"Power BI, Python, SQL",3,0.3,MCA,0
C0160,Cloud & DevOps,"Azure, CI/CD, Kubernetes, Linux, Terraform",5,0.1,MCA,1
C0161,Web Development,"CSS, JavaScript, Node.js, React",4,4.9,Diploma,1
C0162,Mobile Development,"Flutter, Kotlin, Objective-C, React Native",4,1.3,BCA,0
C0163,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,0.3,MCA,0
C0164,Healthcare IT,"HIPAA Compliance, Python, SQL",3,4.6,B.Tech,1
C0165,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,3.6,MCA,0
C0166,Data & ML,"Machine Learning, Power BI, TensorFlow",3,2.0,B.Tech,0
C0167,Cloud & DevOps,"AWS, Azure, Linux, Terraform",4,2.9,B.Tech,0
C0168,Healthcare IT,"FHIR, HL7, Java, Python, SQL",5,0.8,B.Tech,0
C0169,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,2.6,M.Tech,1
C0170,Web Development,"Angular, Django, JavaScript, Node.js, PHP, React",6,0.6,B.Tech,1
C0171,Web Development,"Django, JavaScript, Node.js, PHP, React",5,2.2,Diploma,1
C0172,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python",5,0.1,B.Tech,0
C0173,Cloud & DevOps,"AWS, Docker, Linux",3,0.1,M.Tech,0
C0174,Data & ML,"Excel, Pandas, Power BI, Python, SQL, TensorFlow",6,0.7,B.Tech,0
C0175,Mobile Development,"Java, Kotlin, Swift",3,1.2,B.Tech,0
C0176,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Python",4,0.3,B.Sc,1
C0177,Banking/Fintech Software,"REST APIs, SQL, Spring Boot",3,0.0,B.Sc,0
C0178,Healthcare IT,"HIPAA Compliance, HL7, Java, Python, SQL",5,0.6,B.Tech,0
C0179,Healthcare IT,"FHIR, HL7, Java, SQL",4,0.8,MCA,0
C0180,Data & ML,"Excel, Pandas, Python, SQL",4,4.1,B.Tech,0
C0181,Web Development,"Angular, Django, JavaScript, Node.js, React",5,3.5,B.Sc,1
C0182,Data & ML,"Excel, Pandas, Power BI, Python, SQL, TensorFlow",6,0.3,M.Tech,0
C0183,Data & ML,"Excel, Power BI, Python, SQL, TensorFlow",5,0.3,MCA,0
C0184,Cloud & DevOps,"AWS, CI/CD, Docker, Kubernetes, Linux",5,1.2,B.Tech,0
C0185,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Kubernetes, Terraform",6,0.8,B.Tech,0
C0186,Banking/Fintech Software,"Core Banking Systems, REST APIs, SQL, Spring Boot",4,4.7,M.Tech,0
C0187,Data & ML,"Machine Learning, Pandas, Power BI, Python, SQL",5,4.0,BCA,0
C0188,Data & ML,"Excel, Machine Learning, Pandas, Python, SQL, TensorFlow",6,0.4,B.Tech,0
C0189,Data & ML,"Machine Learning, Python, SQL, TensorFlow",4,2.8,B.Tech,0
C0190,Web Development,"Angular, Django, HTML, React",4,2.8,B.Tech,0
C0191,Web Development,"CSS, JavaScript, Node.js, React",4,1.4,M.Tech,1
C0192,Web Development,"Django, JavaScript, Node.js, PHP",4,1.0,B.Tech,1
C0193,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,0.2,B.Tech,1
C0194,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,0.4,B.Tech,1
C0195,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,0.0,Diploma,0
C0196,Web Development,"CSS, Django, JavaScript, React",4,3.3,Diploma,0
C0197,Web Development,"Angular, CSS, Django, HTML, JavaScript, PHP",6,1.9,B.Sc,0
C0198,Data & ML,"Excel, Pandas, SQL, TensorFlow",4,1.2,M.Tech,0
C0199,Banking/Fintech Software,"Java, REST APIs, Spring Boot",3,2.3,MCA,1
C0200,Web Development,"Angular, CSS, Node.js, PHP",4,2.6,B.Tech,0
C0201,Data & ML,"Machine Learning, Pandas, Power BI, SQL, TensorFlow",5,2.7,B.Tech,0
C0202,Cloud & DevOps,"AWS, Docker, Kubernetes",3,0.2,Diploma,0
C0203,Data & ML,"Machine Learning, Power BI, SQL, TensorFlow",4,0.3,B.Tech,0
C0204,Web Development,"Angular, Django, JavaScript",3,2.7,M.Tech,0
C0205,Cloud & DevOps,"Docker, Kubernetes, Linux, Terraform",4,0.3,B.Sc,1
C0206,Cloud & DevOps,"AWS, Azure, Kubernetes, Terraform",4,0.4,MCA,1
C0207,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,1.4,Diploma,1
C0208,Web Development,"Angular, Django, HTML, JavaScript, Node.js, PHP",6,5.5,B.Tech,1
C0209,Healthcare IT,"FHIR, Java, Python, SQL",4,4.8,B.Sc,0
C0210,Cloud & DevOps,"Azure, Docker, Kubernetes, Linux, Terraform",5,3.3,M.Tech,0
C0211,Healthcare IT,"FHIR, HIPAA Compliance, HL7",3,2.7,BCA,0
C0212,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,1.4,M.Tech,0
C0213,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Python, SQL",5,1.7,BCA,0
C0214,Mobile Development,"Java, Kotlin, Objective-C, React Native, Swift",5,1.5,M.Tech,1
C0215,Mobile Development,"Java, Kotlin, Objective-C, React Native, Swift",5,2.3,M.Tech,0
C0216,Web Development,"CSS, Django, HTML, Node.js, React",5,1.2,B.Tech,1
C0217,Banking/Fintech Software,"Java, SQL, Spring Boot",3,2.1,MCA,0
C0218,Web Development,"Angular, Django, HTML",3,0.5,B.Tech,0
C0219,Data & ML,"Excel, Machine Learning, Pandas, Power BI, TensorFlow",5,0.5,B.Tech,1
C0220,Cloud & DevOps,"AWS, Azure, Terraform",3,6.3,B.Tech,1
C0221,Data & ML,"Machine Learning, Pandas, Power BI, Python, TensorFlow",5,1.4,M.Tech,1
C0222,Mobile Development,"Flutter, Kotlin, Objective-C, React Native, Swift",5,4.8,B.Tech,0
C0223,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,4.4,B.Tech,0
C0224,Data & ML,"Excel, Machine Learning, Pandas, Python, SQL, TensorFlow",6,2.3,B.Tech,0
C0225,Cloud & DevOps,"CI/CD, Docker, Kubernetes, Linux, Terraform",5,9.6,B.Tech,0
C0226,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Python, SQL",5,1.9,Diploma,0
C0227,Data & ML,"Machine Learning, Pandas, TensorFlow",3,0.4,B.Tech,0
C0228,Web Development,"Angular, CSS, Django, Node.js, PHP, React",6,6.2,Diploma,0
C0229,Web Development,"Angular, CSS, Django, HTML, JavaScript, Node.js",6,4.7,B.Tech,1
C0230,Cloud & DevOps,"AWS, Azure, Kubernetes",3,2.6,BCA,0
C0231,Web Development,"Node.js, PHP, React",3,0.3,B.Sc,1
C0232,Banking/Fintech Software,"Java, REST APIs, Spring Boot",3,0.4,Diploma,1
C0233,Mobile Development,"Flutter, Java, Objective-C, React Native",4,5.5,B.Tech,0
C0234,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,2.7,B.Tech,0
C0235,Banking/Fintech Software,"Java, REST APIs, SQL",3,0.7,MCA,1
C0236,Mobile Development,"Flutter, Java, Objective-C, React Native, Swift",5,1.5,M.Tech,1
C0237,Mobile Development,"Flutter, Java, React Native, Swift",4,1.9,M.Tech,1
C0238,Cloud & DevOps,"AWS, Azure, Docker, Kubernetes, Linux, Terraform",6,0.8,M.Tech,0
C0239,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot, TensorFlow",6,2.6,B.Tech,0
C0240,Banking/Fintech Software,"Core Banking Systems, Java, SQL",3,1.4,BCA,1
C0241,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,0.7,M.Tech,1
C0242,Data & ML,"Excel, Pandas, Power BI",3,0.5,M.Tech,0
C0243,Healthcare IT,"HL7, Java, Python",3,0.6,B.Tech,0
C0244,Web Development,"Angular, CSS, Django, JavaScript",4,4.2,B.Tech,1
C0245,Web Development,"Angular, CSS, Django, JavaScript, Node.js, PHP",6,1.9,BCA,0
C0246,Banking/Fintech Software,"Core Banking Systems, Docker, Java, REST APIs, SQL, Spring Boot",6,2.5,B.Tech,1
C0247,Healthcare IT,"FHIR, HIPAA Compliance, Java, Python, SQL",5,2.3,M.Tech,0
C0248,Mobile Development,"Kotlin, Objective-C, React Native, Swift",4,2.5,B.Tech,0
C0249,Data & ML,"Machine Learning, Power BI, Python",3,0.2,MCA,0
C0250,Data & ML,"Excel, Machine Learning, Power BI, Python, TensorFlow",5,3.1,M.Tech,0
C0251,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,5.5,B.Sc,0
C0252,Web Development,"CSS, Node.js, PHP",3,0.8,B.Tech,1
C0253,Banking/Fintech Software,"Core Banking Systems, Java, SQL",3,2.7,B.Tech,0
C0254,Web Development,"HTML, JavaScript, Node.js, PHP, React",5,3.2,B.Tech,0
C0255,Cloud & DevOps,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",6,13.5,BCA,1
C0256,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native, Swift",6,1.5,BCA,0
C0257,Web Development,"Angular, CSS, Django, HTML, React",5,1.2,B.Tech,1
C0258,Banking/Fintech Software,"Core Banking Systems, Java, SQL",3,0.7,B.Tech,0
C0259,Cloud & DevOps,"AWS, CI/CD, Docker, Kubernetes, Linux, Terraform",6,3.1,MCA,1
C0260,Mobile Development,"Flutter, Java, Kotlin",3,1.3,B.Tech,0
C0261,Mobile Development,"Flutter, Java, Kotlin, Objective-C, Swift",5,0.1,B.Sc,0
C0262,Data & ML,"Excel, Machine Learning, Pandas, Power BI, SQL, TensorFlow",6,2.4,M.Tech,0
C0263,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,11.0,MCA,0
C0264,Banking/Fintech Software,"Java, REST APIs, SQL, Spring Boot",4,2.0,B.Sc,1
C0265,Healthcare IT,"HIPAA Compliance, Java, Python",3,2.0,M.Tech,1
C0266,Data & ML,"Machine Learning, Python, SQL, TensorFlow",4,3.0,B.Tech,0
C0267,Cloud & DevOps,"AWS, CI/CD, Docker, Kubernetes, Linux",5,1.6,B.Tech,1
C0268,Healthcare IT,"FHIR, HL7, Python, SQL",4,1.0,B.Tech,1
C0269,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs",3,5.1,M.Tech,0
C0270,Cloud & DevOps,"Azure, Docker, Linux",3,3.2,B.Sc,0
C0271,Cloud & DevOps,"AWS, Docker, Kubernetes, Terraform",4,0.5,B.Tech,0
C0272,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python",5,2.7,BCA,1
C0273,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,2.6,B.Sc,0
C0274,Data & ML,"Excel, Machine Learning, Pandas, Python",4,2.2,B.Tech,0
C0275,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,0.6,B.Tech,1
C0276,Web Development,"HTML, JavaScript, PHP",3,1.5,B.Tech,0
C0277,Mobile Development,"Java, Kotlin, Swift",3,3.8,BCA,1
C0278,Web Development,"CSS, Django, HTML, PHP, React",5,3.3,Diploma,1
C0279,Banking/Fintech Software,"Core Banking Systems, Java, Spring Boot",3,0.9,M.Tech,0
C0280,Cloud & DevOps,"AWS, Azure, Docker, Kubernetes, Linux, Terraform",6,0.2,M.Tech,0
C0281,Banking/Fintech Software,"Core Banking Systems, Java, SQL, Spring Boot",4,2.9,M.Tech,0
C0282,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python, SQL",6,3.9,M.Tech,1
C0283,Mobile Development,"Java, Objective-C, React Native, Swift",4,1.8,B.Tech,0
C0284,Web Development,"Angular, Django, JavaScript, Node.js, PHP, React",6,3.6,B.Tech,0
C0285,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,1.1,B.Sc,1
C0286,Data & ML,"Pandas, Power BI, Python",3,9.0,M.Tech,0
C0287,Healthcare IT,"FHIR, HIPAA Compliance, HL7, SQL",4,9.5,MCA,1
